part,E_GPa,stiffness_multiplier,load_N,mover_mass_g,deflection_mm,stress_MPa,assumed_deflection_budget_mm,within_budget
Servo bed: stepped simply supported beam,1.0,1,1.5745197,,0.023084378310635305,0.7410933773148148,0.05,True
Servo bed: stepped simply supported beam,1.0,0.5,1.5745197,,0.04616875662127061,1.4821867546296297,0.05,True
Axle bridge: each of two cantilever arms,1.0,1,0.36774937499999993,30.0,0.00964940051020408,1.1257633928571424,0.05,True
Axle bridge: each of two cantilever arms,1.0,1,0.5516240625,45.0,0.01447410076530612,1.688645089285714,0.05,True
Axle bridge: each of two cantilever arms,1.0,1,0.7354987499999999,60.0,0.01929880102040816,2.251526785714285,0.05,True
Servo bed: stepped simply supported beam,1.5,1,1.5745197,,0.015389585540423533,0.7410933773148148,0.05,True
Servo bed: stepped simply supported beam,1.5,0.5,1.5745197,,0.030779171080847066,1.4821867546296297,0.05,True
Axle bridge: each of two cantilever arms,1.5,1,0.36774937499999993,30.0,0.006432933673469386,1.1257633928571424,0.05,True
Axle bridge: each of two cantilever arms,1.5,1,0.5516240625,45.0,0.009649400510204081,1.688645089285714,0.05,True
Axle bridge: each of two cantilever arms,1.5,1,0.7354987499999999,60.0,0.012865867346938772,2.251526785714285,0.05,True
Servo bed: stepped simply supported beam,2.5,1,1.5745197,,0.00923375132425412,0.7410933773148148,0.05,True
Servo bed: stepped simply supported beam,2.5,0.5,1.5745197,,0.01846750264850824,1.4821867546296297,0.05,True
Axle bridge: each of two cantilever arms,2.5,1,0.36774937499999993,30.0,0.003859760204081632,1.1257633928571424,0.05,True
Axle bridge: each of two cantilever arms,2.5,1,0.5516240625,45.0,0.005789640306122448,1.688645089285714,0.05,True
Axle bridge: each of two cantilever arms,2.5,1,0.7354987499999999,60.0,0.007719520408163264,2.251526785714285,0.05,True
